"id","sentiment"
"0_10",0.6021920032474136
"0_2",0.49191529666463824
"10000_4",0.4509167174074838
"10000_7",0.7109803125634275
"10001_1",0.4495636289831553
"10001_9",0.5997564440836223
"10002_3",0.5473242676408916
"10002_8",0.6018537311413316
"10003_3",0.5882551924768297
"10003_8",0.6287125363642528
"10004_2",0.5198565726270225
"10004_9",0.6586834449631298
"10005_2",0.5468506866923767
"10005_8",0.6302009336310143
"10006_2",0.46153846153846284
"10006_7",0.5611934239902591
"10007_10",0.6062512685203992
"10007_4",0.4904945538190933
"10008_4",0.5464447601650781
"10008_8",0.709965496245181
"10009_10",0.6571273932751521
"10009_3",0.5303430079155685
"1000_3",0.5369731411947782
"1000_9",0.588458155740479
"10010_2",0.5702591164332602
"10010_9",0.6467086124078224
"10011_1",0.5090995196536106
"10011_9",0.6138285636966391
"10012_1",0.4157364183749419
"10012_9",0.5670117042148718
"10013_4",0.5339286922400391
"10013_9",0.623367837088155
"10014_2",0.5454299438468315
"10014_7",0.6023273120898464
"10015_4",0.5472566132196752
"10015_8",0.6348014342737314
"10016_3",0.5245247276909558
"10016_8",0.6315540220553427
"10017_1",0.5565929233475421
"10017_8",0.5989445910290252
"10018_1",0.5555104526080793
"10018_8",0.5737771463365143
"10019_1",0.425275691766458
"10019_8",0.6567891211690698
"1001_10",0.6429199648197024
"1001_4",0.45341993099249134
"10020_1",0.4288613760909289
"10020_8",0.5970502672349652
"10021_3",0.5005750625803409
"10021_9",0.5821662945673514
"10022_10",0.6427170015560532
"10022_4",0.43813003179757903
"10023_4",0.5844665448887097
"10023_8",0.6105811514782504
"10024_3",0.42108111765103956
"10024_9",0.5464447601650781
"10025_2",0.419254448278196
"10025_8",0.6158581963331317
"10026_10",0.7448075231716409
"10026_3",0.5141059468236262
"10027_1",0.5178945944117461
"10027_8",0.6075367025235112
"10028_10",0.6530681280021664
"10028_3",0.4910357891888246
"10029_1",0.3414518638793057
"10029_10",0.5839253095189784
"1002_3",0.5285839929639413
"1002_9",0.588458155740479
"10030_3",0.49780123131046733
"10030_7",0.5934645829104945
"10031_2",0.47310736756647165
"10031_8",0.5676205940058195
"10032_1",0.4598471010080521
"10032_8",0.6350043975373805
"10033_1",0.48684121507340633
"10033_8",0.5998240985048386
"10034_1",0.47046884513903087
"10034_9",0.6286448819430365
"10035_1",0.4910357891888247
"10035_10",0.6189702997090873
"10036_1",0.4893444286584141
"10036_10",0.6191056085515203
"10037_1",0.5460388336377795
"10037_7",0.6802652053311699
"10038_4",0.43806237737636267
"10038_7",0.5337933833976061
"10039_1",0.4320411338881006
"10039_8",0.5567958866111914
"1003_4",0.597997429131995
"1003_8",0.5877139571070983
"10040_10",0.6180231378120574
"10040_2",0.5416412962587118
"10041_1",0.3037006968405391
"10041_8",0.570529734118126
"10042_1",0.4805493539002786
"10042_8",0.639198971652799
"10043_1",0.5393410459373533
"10043_10",0.6515797307354051
"10044_2",0.5024693863744009
"10044_8",0.6302009336310141
"10045_1",0.49495974561937744
"10045_7",0.6131520194844748
"10046_10",0.5665381232663568
"10046_4",0.544685745213451
"10047_1",0.4561261078411485
"10047_10",0.6651106149786903
"10048_1",0.4933360395101832
"10048_8",0.6182261010757066
"10049_1",0.4681009403964561
"10049_8",0.6636222177119288
"1004_10",0.8242338136797254
"1004_4",0.5517218050199593
"10050_4",0.598268046816861
"10050_8",0.6148433800148854
"10051_2",0.5336580745551734
"10051_8",0.6596306068601596
"10052_4",0.42419322102699525
"10052_7",0.6452202151410608
"10053_10",0.624923888776133
"10053_4",0.574656653812328
"10054_3",0.5647114538935132
"10054_7",0.6505649144171585
"10055_1",0.5206684256816195
"10055_10",0.6048305256748543
"10056_1",0.5358230160340991
"10056_8",0.6149786888573183
"10057_1",0.5177592855693132
"10057_8",0.6126784385359597
"10058_2",0.5781746837155821
"10058_8",0.6059129964143172
"10059_1",0.52235978621203
"10059_10",0.5835870374128963
"1005_2",0.516609160408634
"1005_7",0.5664704688451404
"10060_10",0.6174142480211097
"10060_3",0.49665110614978814
"10061_10",0.594005818280226
"10061_4",0.5430620391042567
"10062_4",0.518503484202694
"10062_9",0.5444151275285852
"10063_1",0.5119410053447004
"10063_10",0.5972532304986146
"10064_10",0.602394966511063
"10064_2",0.5527366213382058
"10065_1",0.4591705567958877
"10065_8",0.6536770177931144
"10066_1",0.5619376226236398
"10066_7",0.5423854948920925
"10067_4",0.4450984371828709
"10067_7",0.6086868276841906
"10068_3",0.4709424260875461
"10068_8",0.6916988025167461
"10069_10",0.6454908328259267
"10069_3",0.4933360395101832
"1006_3",0.4933360395101832
"1006_8",0.5655233069481103
"10070_10",0.5902171706921061
"10070_3",0.5007780258439901
"10071_2",0.5651850348420282
"10071_8",0.6910222583045815
"10072_1",0.49746295920438527
"10072_10",0.6454908328259266
"10073_3",0.5172857046207981
